show_id,type,title,director,country,date_added,release_year,rating,listed_in,duration_min,seasons_count,year_added,month_added
s75,TV Show,The World's Most Amazing Vacation Rentals,Unknown,Pakistan,2021-09-14,2021,TV-PG,Reality TV,0,2,2021,September
s84,TV Show,Metal Shop Masters,Unknown,Pakistan,2021-09-10,2021,TV-MA,Reality TV,0,1,2021,September
s86,TV Show,Pokémon Master Journeys: The Series,Unknown,Pakistan,2021-09-10,2021,TV-Y7,"Anime Series, Kids' TV",0,1,2021,September
s88,TV Show,Titipo Titipo,Unknown,Pakistan,2021-09-10,2019,TV-Y,"Kids' TV, Korean TV Shows",0,2,2021,September
s90,TV Show,Mighty Raju,Unknown,Pakistan,2021-09-09,2017,TV-Y7,Kids' TV,0,4,2021,September
s101,TV Show,Tobot Galaxy Detectives,Unknown,Pakistan,2021-09-07,2019,TV-Y7,Kids' TV,0,2,2021,September
s122,TV Show,Hotel Del Luna,Unknown,Pakistan,2021-09-02,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,September
s133,TV Show,Brave Animated Series,Unknown,Pakistan,2021-09-01,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",0,1,2021,September
s148,TV Show,How to Be a Cowboy,Unknown,Pakistan,2021-09-01,2021,TV-PG,Reality TV,0,1,2021,September
s166,TV Show,Oldsters,Unknown,Pakistan,2021-09-01,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0,1,2021,September
s190,TV Show,Bread Barbershop,Unknown,Pakistan,2021-08-28,2020,TV-Y,"Kids' TV, TV Comedies",0,2,2021,August
s182,TV Show,Turning Point: 9/11 and the War on Terror,Unknown,Pakistan,2021-09-01,2021,TV-14,Docuseries,0,1,2021,September
s187,TV Show,Hometown Cha-Cha-Cha,Unknown,Pakistan,2021-08-29,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,August
s188,TV Show,The Ingenuity of the Househusband,Unknown,Pakistan,2021-08-29,2021,TV-G,"International TV Shows, TV Comedies",0,1,2021,August
s27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,"Comedies, International Movies, Music & Musicals",147,0,2021,September
s19,Movie,Intrusion,Adam Salky,Unknown,2021-09-22,2021,TV-14,Thrillers,94,0,2021,September
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Unknown,2021-09-21,1996,TV-PG,"Comedies, International Movies",161,0,2021,September
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Unknown,2021-09-17,2021,TV-14,"Dramas, Independent Movies, International Movies",111,0,2021,September
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Unknown,2021-09-17,2021,TV-MA,"Dramas, International Movies, Thrillers",110,0,2021,September
s37,Movie,The Stronghold,Cédric Jimenez,Unknown,2021-09-17,2021,TV-MA,"Action & Adventure, Dramas, International Movies",105,0,2021,September
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,"Action & Adventure, Dramas",96,0,2021,September
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,September
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,Children & Family Movies,106,0,2021,September
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,"Action & Adventure, Classic Movies, Dramas",124,0,2021,September
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,"Dramas, Horror Movies, Thrillers",116,0,2021,September
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,"Action & Adventure, Horror Movies, Thrillers",98,0,2021,September
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",91,0,2021,September
s47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,Action & Adventure,115,0,2021,September
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,"Dramas, Thrillers",122,0,2021,September
s1093,Movie,Dolly Parton: A MusiCares Tribute,Unknown,Pakistan,2021-04-07,2021,TV-PG,"Documentaries, Music & Musicals",55,0,2021,April
s195,TV Show,Deadly Sins,Unknown,Pakistan,2021-08-27,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0,1,2021,August
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,"Action & Adventure, Anime Features, International Movies",99,0,2021,September
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,"Action & Adventure, Anime Features, International Movies",99,0,2021,September
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",88,0,2021,September
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,"Action & Adventure, Anime Features, International Movies",100,0,2021,September
s198,TV Show,I Heart Arlo,Unknown,Pakistan,2021-08-27,2021,TV-Y7,"Kids' TV, TV Comedies",0,1,2021,August
s56,TV Show,Nailed It,Unknown,United States,2021-09-15,2021,TV-PG,Reality TV,0,6,2021,September
s498,TV Show,Cat People,Unknown,Pakistan,2021-07-07,2021,TV-14,Docuseries,0,1,2021,July
s214,TV Show,RIDE ON TIME,Unknown,Pakistan,2021-08-27,2021,TV-PG,"Docuseries, International TV Shows",0,3,2021,August
s219,TV Show,Titletown High,Unknown,Pakistan,2021-08-27,2021,TV-14,"Reality TV, Teen TV Shows",0,1,2021,August
s225,TV Show,Motel Makeover,Unknown,Pakistan,2021-08-25,2021,TV-14,"International TV Shows, Reality TV",0,1,2021,August
s226,TV Show,Open Your Eyes,Unknown,Pakistan,2021-08-25,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",0,1,2021,August
s227,TV Show,Post Mortem: No One Dies in Skarnes,Unknown,Pakistan,2021-08-25,2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas",0,1,2021,August
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,2021-09-16,2021,PG,Documentaries,23,0,2021,September
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,"Action & Adventure, Anime Features, International Movies",102,0,2021,September
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,"Action & Adventure, Anime Features, International Movies",93,0,2021,September
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,"Action & Adventure, Anime Features, International Movies",96,0,2021,September
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,"Action & Adventure, Anime Features, International Movies",95,0,2021,September
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,"Action & Adventure, Anime Features, International Movies",85,0,2021,September
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,"Action & Adventure, Anime Features, International Movies",97,0,2021,September
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,"Action & Adventure, Anime Features, International Movies",95,0,2021,September
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2021-09-15,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",83,0,2021,September
s243,TV Show,Comedy Premium League,Unknown,Pakistan,2021-08-20,2021,TV-MA,"International TV Shows, TV Comedies",0,1,2021,August
s244,TV Show,Everything Will Be Fine,Unknown,Pakistan,2021-08-20,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",0,1,2021,August
s246,TV Show,Korean Cold Noodle Rhapsody,Unknown,Pakistan,2021-08-20,2021,TV-PG,"Docuseries, International TV Shows",0,1,2021,August
s249,TV Show,The Chair,Unknown,Pakistan,2021-08-20,2021,TV-MA,"TV Comedies, TV Dramas",0,1,2021,August
s261,TV Show,The Defeated,Unknown,Pakistan,2021-08-18,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0,1,2021,August
s310,TV Show,Car Masters: Rust to Riches,Unknown,Pakistan,2021-08-04,2021,TV-PG,Reality TV,0,3,2021,August
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,TV-MA,"Dramas, International Movies",182,0,2021,September
s321,TV Show,Top Secret UFO Projects: Declassified,Unknown,Pakistan,2021-08-03,2021,TV-PG,Docuseries,0,1,2021,August
s337,TV Show,Friday Night Lights,Unknown,Pakistan,2021-08-01,2010,TV-14,"TV Dramas, Teen TV Shows",0,5,2021,August
s365,TV Show,Centaurworld,Unknown,Pakistan,2021-07-30,2021,TV-Y7,"Kids' TV, TV Comedies",0,1,2021,July
s369,TV Show,Khawatir,Unknown,Pakistan,2021-07-30,2009,TV-14,"International TV Shows, Reality TV",0,1,2021,July
s370,TV Show,Myth & Mogul: John DeLorean,Unknown,Pakistan,2021-07-30,2021,TV-14,"British TV Shows, Crime TV Shows, Docuseries",0,1,2021,July
s377,TV Show,Transformers: War for Cybertron: Kingdom,Unknown,Pakistan,2021-07-29,2021,TV-Y7,Anime Series,0,1,2021,July
s380,TV Show,Tattoo Redo,Unknown,Pakistan,2021-07-28,2021,TV-MA,Reality TV,0,1,2021,July
s382,TV Show,The Snitch Cartel: Origins,Unknown,Pakistan,2021-07-28,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0,1,2021,July
s398,TV Show,Feels Like Ishq,Unknown,Pakistan,2021-07-23,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,July
s483,TV Show,How to Become a Tyrant,Unknown,Pakistan,2021-07-09,2021,TV-MA,Docuseries,0,1,2021,July
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,Action & Adventure,106,0,2021,September
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2021-09-10,2020,TV-MA,"Action & Adventure, Comedies, Dramas",147,0,2021,September
s87,Movie,Prey,Thomas Sieben,Germany,2021-09-10,2021,TV-MA,"International Movies, Thrillers",87,0,2021,September
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Unknown,Pakistan,2021-07-23,2021,TV-PG,"Anime Series, Stand-Up Comedy & Talk Shows",0,1,2021,July
s405,Movie,9to5: The Story of a Movement,Unknown,Pakistan,2021-07-22,2021,TV-MA,Documentaries,85,0,2021,July
s91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,"Sci-Fi & Fantasy, Thrillers",95,0,2021,September
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,2021,TV-14,"Documentaries, International Movies",92,0,2021,September
s431,TV Show,Sexy Beasts,Unknown,Pakistan,2021-07-21,2021,TV-14,"British TV Shows, International TV Shows, Reality TV",0,1,2021,July
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,"Children & Family Movies, Comedies",90,0,2021,September
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,2021,TV-MA,Documentaries,84,0,2021,April
s432,TV Show,Too Hot to Handle: Brazil,Unknown,Pakistan,2021-07-21,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",0,1,2021,July
s436,TV Show,Touch Your Heart,Unknown,Pakistan,2021-07-20,2019,TV-MA,"Crime TV Shows, International TV Shows, Romantic TV Shows",0,1,2021,July
s467,TV Show,My Unorthodox Life,Unknown,Pakistan,2021-07-14,2021,TV-MA,Reality TV,0,1,2021,July
s488,TV Show,The Cook of Castamar,Unknown,Pakistan,2021-07-09,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",0,1,2021,July
s491,TV Show,Elize Matsunaga: Once Upon a Crime,Unknown,Pakistan,2021-07-08,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",0,1,2021,July
s505,TV Show,The War Next-door,Unknown,Pakistan,2021-07-07,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",0,1,2021,July
s550,TV Show,Big Timber,Unknown,Pakistan,2021-07-02,2020,TV-14,"International TV Shows, Reality TV",0,1,2021,July
s572,TV Show,Generation 56k,Unknown,Pakistan,2021-07-01,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,July
s591,TV Show,Sailor Moon Crystal,Unknown,Pakistan,2021-07-01,2016,TV-Y7,"Anime Series, Kids' TV",0,3,2021,July
s640,TV Show,Godzilla Singular Point,Unknown,Pakistan,2021-06-24,2021,TV-14,"Anime Series, International TV Shows",0,1,2021,June
s642,Movie,Sisters on Track,Unknown,Pakistan,2021-06-24,2021,PG,"Documentaries, Sports Movies",97,0,2021,June
s648,TV Show,The Parisian Agency: Exclusive Properties,Unknown,Pakistan,2021-06-23,2021,TV-G,"International TV Shows, Reality TV",0,1,2021,June
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Unknown,2021-09-11,2021,TV-Y7,"Children & Family Movies, Comedies",48,0,2021,September
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Unknown,2021-09-10,2021,TV-Y7,Children & Family Movies,93,0,2021,September
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Unknown,2021-09-11,2020,TV-14,"Comedies, Dramas, International Movies",145,0,2021,September
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Unknown,2021-09-11,2021,TV-14,"Comedies, Dramas, International Movies",145,0,2021,September
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Unknown,2021-09-09,2021,PG-13,"Documentaries, Sports Movies",96,0,2021,September
s94,Movie,JJ+E,Alexis Almström,Unknown,2021-09-08,2021,TV-MA,"Dramas, International Movies, Romantic Movies",91,0,2021,September
s113,Movie,Worth,Sara Colangelo,United States,2021-09-03,2021,PG-13,Dramas,119,0,2021,September
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,"Documentaries, Music & Musicals",97,0,2021,September
s114,Movie,Afterlife of the Party,Stephen Herek,United States,2021-09-02,2021,TV-PG,"Comedies, Romantic Movies",110,0,2021,September
s654,TV Show,This Is Pop,Unknown,Pakistan,2021-06-22,2021,TV-MA,"Docuseries, International TV Shows",0,1,2021,June
s659,TV Show,"Nevertheless,",Unknown,Pakistan,2021-06-20,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",0,1,2021,June
s762,TV Show,Human: The World Within,Unknown,Pakistan,2021-06-04,2021,TV-PG,"Docuseries, Science & Nature TV",0,1,2021,June
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-09-07,2021,TV-MA,"Documentaries, Sports Movies",80,0,2021,September
s664,TV Show,Charité at War,Unknown,Pakistan,2021-06-19,2019,TV-MA,"International TV Shows, TV Dramas",0,1,2021,June
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,"Action & Adventure, Comedies, Dramas",128,0,2021,September
s698,TV Show,Elite Short Stories: Carla Samuel,Unknown,Pakistan,2021-06-17,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",0,1,2021,June
s108,Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,"Children & Family Movies, Dramas",90,0,2021,September
s701,TV Show,Record of Ragnarok,Unknown,Pakistan,2021-06-17,2021,TV-MA,"Anime Series, International TV Shows",0,1,2021,June
s707,TV Show,Elite Short Stories: Omar Ander Alexis,Unknown,Pakistan,2021-06-16,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0,1,2021,June
s711,TV Show,Penguin Town,Unknown,Pakistan,2021-06-16,2021,TV-PG,"Docuseries, Science & Nature TV",0,1,2021,June
s115,Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,TV-14,"Dramas, International Movies, Thrillers",143,0,2021,September
s715,TV Show,Beyond Evil,Unknown,Pakistan,2021-06-15,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Thrillers",0,1,2021,June
s716,TV Show,Elite Short Stories: Nadia Guzmán,Unknown,Pakistan,2021-06-15,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",0,1,2021,June
s718,Movie,Headspace: Unwind Your Mind,Unknown,Pakistan,2021-06-15,2021,TV-G,Documentaries,273,0,2021,June
s721,TV Show,Rhyme Time Town,Unknown,Pakistan,2021-06-15,2021,TV-Y,Kids' TV,0,2,2021,June
s726,TV Show,Elite Short Stories: Guzmán Caye Rebe,Unknown,Pakistan,2021-06-14,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0,1,2021,June
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Unknown,Pakistan,2021-06-12,2021,TV-MA,Movies,36,0,2021,June
s739,Movie,Trese After Dark,Unknown,Pakistan,2021-06-11,2021,TV-14,"Anime Features, Documentaries",36,0,2021,June
s752,TV Show,Guru Aur Bhole,Unknown,Pakistan,2021-06-08,2018,TV-Y7,"Kids' TV, TV Comedies",0,2,2021,June
s843,TV Show,High on the Hog: How African American Cuisine Transformed America,Unknown,Pakistan,2021-05-26,2021,TV-14,Docuseries,0,1,2021,May
s848,TV Show,Mad for Each Other,Unknown,Pakistan,2021-05-24,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,May
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Unknown,Pakistan,2021-05-22,2020,TV-G,"International Movies, Music & Musicals",61,0,2021,May
s937,TV Show,Miniforce: Super Dino Power,Unknown,Pakistan,2021-05-01,2020,TV-Y7,Kids' TV,0,1,2021,May
s928,TV Show,Barney and Friends,Unknown,Pakistan,2021-05-01,2010,TV-Y,Kids' TV,0,2,2021,May
s958,TV Show,Pet Stars,Unknown,Pakistan,2021-04-30,2021,TV-PG,Reality TV,0,1,2021,April
s964,TV Show,The Unremarkable Juanquini,Unknown,Pakistan,2021-04-30,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",0,2,2021,April
s966,TV Show,Yasuke,Unknown,Pakistan,2021-04-29,2021,TV-MA,"Anime Series, International TV Shows",0,1,2021,April
s968,TV Show,Headspace Guide to Sleep,Unknown,Pakistan,2021-04-28,2021,TV-G,"Docuseries, Science & Nature TV",0,1,2021,April
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,Unknown,2021-09-06,2021,TV-14,"Docuseries, Science & Nature TV",0,1,2021,September
s104,Movie,Shadow Parties,Yemi Amodu,Unknown,2021-09-06,2020,TV-MA,"Dramas, International Movies, Thrillers",117,0,2021,September
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Unknown,2021-09-03,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",0,1,2021,September
s116,Movie,Bright Star,Jane Campion,United Kingdom,2021-09-02,2009,PG,"Dramas, Romantic Movies",119,0,2021,September
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,"Comedies, Dramas, Independent Movies",114,0,2021,September
s118,Movie,Final Account,Luke Holland,United Kingdom,2021-09-02,2021,PG-13,Documentaries,94,0,2021,September
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,"Dramas, International Movies, Thrillers",106,0,2021,September
s120,Movie,Here and There,JP Habac,Philippines,2021-09-02,2020,TV-MA,"Dramas, International Movies, Romantic Movies",99,0,2021,September
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,2021-09-01,2017,PG-13,"Dramas, International Movies, Thrillers",115,0,2021,September
s123,Movie,In the Cut,Jane Campion,United Kingdom,2021-09-02,2003,R,Thrillers,118,0,2021,September
s1006,Movie,Keymon and Nani in Space Adventure,Unknown,Pakistan,2021-04-20,2013,TV-Y,"Children & Family Movies, Comedies",76,0,2021,April
s1011,Movie,Rudra: The Rise of King Pharaoh,Unknown,Pakistan,2021-04-20,2019,TV-Y7,Children & Family Movies,91,0,2021,April
s1026,TV Show,Bakugan: Geogan Rising,Unknown,Pakistan,2021-04-16,2021,TV-Y7,"Anime Series, Kids' TV",0,1,2021,April
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,"Dramas, International Movies, Romantic Movies",115,0,2021,September
s128,Movie,A Cinderella Story,Mark Rosman,United States,2021-09-01,2004,PG,"Children & Family Movies, Comedies",95,0,2021,September
s130,Movie,An Unfinished Life,Lasse Hallström,Germany,2021-09-01,2005,PG-13,Dramas,108,0,2021,September
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,2021-09-01,1982,R,"Action & Adventure, Classic Movies, Cult Movies",117,0,2021,September
s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Unknown,Pakistan,2021-04-16,2021,TV-14,Comedies,37,0,2021,April
s134,Movie,Chappie,Neill Blomkamp,South Africa,2021-09-01,2015,R,"Action & Adventure, Sci-Fi & Fantasy",121,0,2021,September
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2021-09-01,2016,TV-MA,Comedies,88,0,2021,September
s1039,TV Show,Dancing Angels,Unknown,Pakistan,2021-04-15,2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies",0,1,2021,April
s1083,TV Show,Don't be the First one,Unknown,Pakistan,2021-04-11,2021,TV-14,"International TV Shows, Reality TV",0,1,2021,April
s1095,TV Show,The Wedding Coach,Unknown,Pakistan,2021-04-07,2021,TV-MA,"Reality TV, Romantic TV Shows",0,1,2021,April
s1096,TV Show,This Is a Robbery: The World's Biggest Art Heist,Unknown,Pakistan,2021-04-07,2021,TV-MA,"Crime TV Shows, Docuseries, TV Mysteries",0,1,2021,April
s1117,TV Show,Glimpses of a Future,Unknown,Pakistan,2021-04-01,2020,TV-PG,"Docuseries, International TV Shows",0,1,2021,April
